iduser,username,password,fio,role
1,Alik2,ca44086fd065d8275d64a706375e8b02fa1cdc9c5b1ba056f1b845758642625d,"Виноградов Мечислав Витальевич",1
2,tanglysplintwood,e08d706b3e4ce964b632746cf568913cb93f1ed36476fbb0494b80ed17c5975c,"Беспалов Лаврентий Николаевич",2
3,saulieconsulages,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,"Никифоров Любовь Максимович",3
4,carboyovershadow,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,"Цветков Велорий Григорьевич",3
5,burnetjettisoned,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,"Брагин Ермолай Витальевич",3
6,unseennidicolous,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,"Гущин Анатолий Демьянович",2
7,lutzescheapeners,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,"Агафонов Касьян Германнович",3
8,CerebralSaint,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,"Крылов Юстин Леонидович",2
9,GnarlyBat,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,"Молчанов Ефрем Владимирович",2
10,HeftyDetail,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,"Шашков Наум Феликсович",3
11,GouverningSir,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,"Голубев Демьян Улебович",3
12,FameStar,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,"Гущин Глеб Тихонович",3
13,ThunderCurl,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,"Гаврилов Дмитрий Парфеньевич",3
14,NoiseGoose,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,"Мишин Артем Федотович",3
15,ChimpTourist,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,"Семёнов Мечеслав Наумович",1
16,BasicBoon,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,"Виноградов Мечислав Витальевич",1
17,DiggingSpanner,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,"Воронцов Эдуард Альбертович",2
18,JukeboxFerret,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,"Гурьев Станислав Евсеевич",2
19,test_user,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,"Ларионов Леонард Натанович",3
20,AuctioneerHone,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,"Комиссаров Альберт Дамирович",3
21,TaffyFlair,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,"Зиновьев Михаил Федосеевич",3
22,OceanStandout,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,"Михеев Юлиан Никитевич",3
23,JukeboxFerret,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,"Кондратьев Карл Георгиевич",3
24,BranVindicator,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,"Зиновьев Владимир Иосифович",3
25,HoppedGuardian,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,"Беспалов Валентин Дамирович",3
26,HaveShrewd,c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,"Бобров Ким Леонидович",2
27,JukeboxFerret,b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,"Лихачёв Иосиф Авдеевич",2
28,OceanStandout,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,"Овчинников Любомир Германович",2
29,LocoSleet,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,"Морозов Арнольд Аристархович",1
30,PoultryRally,59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,"Комиссаров Любомир Робертович",1
31,1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1,2
32,2,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,2,2
33,3,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,3,3
